Formula,Space group number,Band Gap (eV),Debye T (K)
B3NaO5,14,5.24,572
B7Na3O12,2,4.92,646
B4Na2O7,2,5.15,606
B4Na2O7,2,5.15,588
BNaO2,167,4.11,599
B2Na4O5,15,3.69,452
B5Na3S9,142,3.51,412
BNaS2,167,2.56,305
B2Na2S5,62,2.59,230
BNa3S3,15,2.58,248
BNbO4,141,2.47,614
B3NdO6,15,5.42,439
B3NdO6,62,5.25,437
B3O6Pr,15,5.39,424
B10O21Pr4,14,5.00,336
B5O8Rb,61,5.94,574
B19O31Rb5,15,5.29,639
B3O5Rb,19,5.70,454
B3O5Rb,15,5.63,493
B3O5Rb,19,5.70,461
B7O12Rb3,2,4.48,489
B4O7Rb2,2,4.59,419
BO2Rb,167,3.93,315
B3O6Sm,15,5.47,471
B3O6Sm,62,5.35,478
B4O9Sm2,15,5.49,414
B8O13Sr,14,5.57,702
B4O7Sr,31,7.12,674
B4O7Sr,143,5.18,632
B14O25Sr4,36,5.21,655
B2O4Sr,60,4.95,466
B2O4Sr,205,6.38,629
B2O5Sr2,14,4.28,341
BO4Ta,141,3.45,582
B3O6Tb,62,5.55,376
B3O6Tm,62,5.79,477
B5O12Tm3,53,5.39,398
BO3V,167,1.82,683
B2O5Zr,14,3.79,532
BPrS3,33,2.44,225
B9Rb4S9,2,3.12,497
BRbS2,167,2.83,165
BRbS3,14,2.39,92
BRb3S3,14,2.55,125
BS3Sm,33,2.39,235
B2S4Sr,14,2.82,272
B2S4Sr,148,2.98,269
B2S6Sr3,15,2.31,190
BS3Tb,33,2.33,240
Ba3BiN,194,0.65,264
Ba2Bi2O5,14,2.01,285
BaBiO3,1,0.10,363
BaBiO3,1,0.10,332
BaBi2S4,176,0.95,226
BaBi2S4,176,0.95,270
Ba4Br6O,186,4.16,217
Ba4Br2Si3,14,0.37,188
Ba4Cl6O,186,4.36,244
Ba2ClP,166,1.26,119
Ba2ClP7,11,1.56,383
BaF5Ga,19,5.76,293
BaF6Ge,166,5.79,285
Ba3F12In2,127,4.51,156
BaF5Sb,57,4.75,211
BaF12Sb2,1,4.05,264
BaF6Si,166,7.42,275
BaF6Sn,148,4.99,274
Ba3Ga2N4,52,1.49,292
Ba3Ga3N5,15,1.42,317
Ba4Ga2O7,14,3.24,250
BaGa2O4,173,3.03,375
BaGa2O4,173,3.03,334
Ba5Ga2S8,64,2.53,270
Ba4Ga2S7,11,2.63,283
Ba3Ga2S6,15,2.68,288
Ba2Ga2S5,15,2.77,266
BaGa2S4,205,2.90,381
BaGa4S7,31,2.58,330
Ba3GeO,62,0.37,253
Ba3GeO5,140,2.76,311
BaGeO3,19,3.54,243
BaGe2O5,64,1.81,374
BaGe2O5,14,2.93,335
BaGe4O9,150,3.06,439
Ba2GeS4,62,2.29,205
BaGe2S5,227,2.18,196
Ba3In2O6,139,0.88,352
Ba2In2O5,46,0.92,335
Ba4In6O13,45,0.44,355
BaIn2O4,14,1.67,312
Ba2In2S5,61,1.99,270
BaIn2S4,70,2.33,251
BaN4P2,205,3.91,543
Ba3NSb,194,0.71,282
Ba5N6Si2,19,1.40,287
BaN2Si,64,2.92,349
Ba2N8Si5,31,2.88,622
BaN8Si6,44,3.25,732
BaN10Si7,7,4.11,751
Ba4OP2,64,1.04,216
Ba3O13P4,2,5.12,364
Ba3O13P4,2,5.12,377
BaO6P2,19,5.27,359
BaO6P2,14,5.43,364
Ba4OSb2,139,0.64,239
Ba3OSb2,55,0.33,244
Ba3OSb4,14,0.36,194
Ba3O6Sb2,2,2.93,199
Ba4O9Sb2,194,2.82,251
Ba2O5Sb2,62,2.38,205
BaO6Sb2,162,2.86,333
Ba3OSi,62,0.42,272
Ba3O5Si,140,3.54,282
BaO3Si,194,2.12,534
BaO3Si,166,3.04,491
BaO3Si,19,4.53,253
Ba2O8Si3,14,4.51,286
Ba2O8Si3,4,4.49,284
Ba5O21Si8,15,4.50,349
Ba3O13Si5,14,4.51,321
BaO5Si2,62,4.76,310
BaO5Si2,15,4.86,282
BaO9Si4,188,4.34,489
Ba2O4Sn,139,2.44,380
BaO3Sn,221,0.37,519
Ba3P2S8,14,2.15,198
BaPS3,14,3.10,235
Ba8S17Sb6,13,1.39,264
BaS4Sb2,14,1.49,240
Ba3S5Si,62,2.81,206
Ba2S4Si,62,3.00,215
Ba2S4Sn,33,2.31,193
Ba2S4Sn,14,1.96,230
BaS2Sn,14,1.64,270
Ba3S7Sn2,14,2.19,161
BaS3Sn2,11,1.30,183
BiBr6Rb3,62,3.30,189
BiCa3N,221,1.20,420
Bi2CaO4,15,2.54,259
Bi2Ca2O5,2,2.50,309
Bi2Ca4O,139,0.81,225
BiCl6Cs3,15,3.85,114
BiCl15Mo6,15,2.15,247
BiCl15W6,15,2.00,262
BiCsF6,148,2.82,222
Bi4Cs2O7,15,2.67,146
BiCsO2,15,2.32,291
BiCs3O3,198,3.05,223
Bi3CsS5,62,1.43,108
BiCsS2,14,1.75,192
BiF5K2,62,4.77,185
BiF6K,206,2.71,174
BiF4Li,88,4.85,359
BiF6Li,148,2.54,323
BiF6Na,148,2.71,274
BiF6Rb,148,2.62,232
BiKO2,15,1.85,359
BiKO3,201,0.49,354
Bi5K9O13,14,1.07,306
Bi2K4O5,2,2.62,272
BiK3O3,217,2.96,251
BiK3O4,2,1.14,292
Bi2La4S9,62,1.08,214
BiLiO2,72,2.04,387
BiLiO3,56,0.14,415
BiLi3O3,2,2.44,358
BiLi5O5,8,1.36,445
BiLi7O6,146,1.85,410
Bi2MgO6,136,0.00,332
Bi10Mo3O24,5,2.80,212
Bi2MoO6,64,0.52,283
Bi2MoO6,61,0.59,267
Bi2MoO6,29,2.13,221
Bi2MoO6,14,2.64,214
BiNaO2,15,1.14,409
BiNaO3,148,1.09,447
BiNa3O3,217,2.84,335
BiNa3O4,13,0.96,417
Bi5Nb3O15,30,1.27,240
BiNbO4,52,2.94,348
BiNbO4,2,2.52,335
Bi4O7Rb2,15,2.61,158
BiO2Rb,15,2.20,335
BiO3Rb3,198,3.10,233
BiO3Sc,15,2.66,331
BiO3Sc,9,2.69,313
Bi2OSr4,139,1.49,265
Bi2OSr4,139,1.49,266
Bi2O4Sr,12,2.56,284
Bi2O5Sr2,62,2.26,266
BiO3Sr,14,0.31,400
Bi7O18Ta3,12,2.33,188
Bi4O11Ta2,2,2.80,203
BiO4Ta,52,2.97,366
BiO4Ta,2,2.90,340
Bi12O20Ti,197,2.31,259
Bi4O12Ti3,139,1.38,277
Bi4O12Ti3,41,2.42,257
Bi4O12Ti3,9,2.26,256
Bi4O12Ti3,7,2.37,256
Bi2O7Ti2,227,2.61,389
Bi2O7Ti2,227,2.61,386
Bi2O7Ti2,227,2.61,386
Bi2O7Ti2,227,2.61,386
Bi2O11Ti4,15,2.09,427
Bi2O11Ti4,12,2.04,433
Bi6O16V3,62,2.17,203
Bi4O11V2,5,2.16,200
Bi4O11V2,5,2.16,201
Bi2O6W,12,2.51,272
Bi2O6W,41,1.90,255
Bi2O6W,29,1.91,242
BiRbS2,166,1.34,263
Br3CaIn,63,3.14,128
Br3CaIn,63,3.14,128
Br3CsGe,221,0.76,158
Br6Cs2Sn,225,1.44,79
Br3CsSn,221,1.60,180
Br6Eu4O,186,0.75,232
BrEu2O2,12,2.26,275
BrEu3O4,63,0.01,299
Br4GaK,161,3.58,61
Br4GaLi,14,3.44,68
Br3GaLi,11,2.96,77
Br4GaNa,62,3.48,24
BrGdO,129,2.89,235
Br7Ge2Rb3,14,2.90,57
Br3InMg,62,2.06,37
Br6In2Zr,128,2.39,13
Br2K4O,139,0.99,273
BrK3O,221,0.89,252
Br6K2Sn,225,1.17,129
BrLaO,129,3.73,190
Br4La7Sb11,62,0.14,129
Br3La9Sb16,176,0.22,168
Br3Li7O2,139,4.25,359
BrLi3O,221,4.28,571
BrLuO,129,4.39,212
Br2Na4O,139,1.98,299
BrNa3O,221,1.88,365
Br3NbO,113,1.96,79
BrNdO,129,4.48,223
